#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Tue Mar 26 20:40:35 EDT 2019,35,35,Assignment4Suite,ContainsTest2+ EmptyTest0+ FindMinMaxTest0+ FindMinMaxTest1+ HeightTest+ InsertAfterRemoveTest0+ InsertTest0+ InsertTest5+ SizeTest0+ SizeTest1+ SizeTest3+ , ,ContainsTest0- ContainsTest1- EmptyTest1- EmptyTest2- FindMinMaxTest2- InsertAfterRemoveTest1- InsertAfterRemoveTest2- InsertTest1- InsertTest2- InsertTest3- InsertTest4- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- RemoveTest4- RemoveTest5- RemoveTest6- RemoveTest7- SizeTest2- , ,
1,Tue Mar 26 20:41:10 EDT 2019,35,0,Assignment4Suite,ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertAfterRemoveTest0 InsertTest0 InsertTest5 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest0 ContainsTest1 EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest2 , ,
2,Tue Mar 26 20:43:17 EDT 2019,35,0,Assignment4Suite,ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertAfterRemoveTest0 InsertTest0 InsertTest5 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest0 ContainsTest1 EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest2 , ,
3,Tue Mar 26 20:44:25 EDT 2019,35,0,Assignment4Suite,ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertAfterRemoveTest0 InsertTest0 InsertTest5 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest0 ContainsTest1 EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest1 InsertTest2 InsertTest3 InsertTest4 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest2 , ,
4,Tue Mar 26 21:07:52 EDT 2019,67,32,Assignment4Suite,ContainsTest0+ ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1+ InsertAfterRemoveTest2+ InsertTest0 InsertTest1+ InsertTest2+ InsertTest3+ InsertTest5 RemoveTest1+ RemoveTest2+ RemoveTest4+ RemoveTest7+ SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest1 EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertTest4 RemoveTest0 RemoveTest3 RemoveTest5 RemoveTest6 SizeTest2 , ,
5,Tue Mar 26 21:17:46 EDT 2019,61,-6,Assignment4Suite,ContainsTest0 ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 RemoveTest1 RemoveTest2 RemoveTest4 RemoveTest7 SizeTest0 SizeTest1 , ,ContainsTest1 EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertTest4 InsertTest5- RemoveTest0 RemoveTest3 RemoveTest5 RemoveTest6 SizeTest2 SizeTest3- , ,
6,Tue Mar 26 22:51:10 EDT 2019,77,16,Assignment4Suite,ContainsTest0 ContainsTest2 EmptyTest0 EmptyTest1+ FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4+ InsertTest5+ RemoveTest1 RemoveTest2 RemoveTest3+ RemoveTest4 RemoveTest7 SizeTest0 SizeTest1 SizeTest3+ , ,ContainsTest1 EmptyTest2 FindMinMaxTest2 RemoveTest0 RemoveTest5 RemoveTest6 SizeTest2 , ,
7,Tue Mar 26 23:14:16 EDT 2019,64,-13,Assignment4Suite,ContainsTest0 ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5+ RemoveTest7 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest1 EmptyTest1- EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0- InsertAfterRemoveTest1- InsertAfterRemoveTest2- RemoveTest0 RemoveTest1- RemoveTest6 SizeTest2 , ,
8,Tue Mar 26 23:17:07 EDT 2019,70,6,Assignment4Suite,ContainsTest0 ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertAfterRemoveTest2+ InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1+ RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest1 EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 RemoveTest0 RemoveTest6 SizeTest2 , ,
9,Tue Mar 26 23:36:38 EDT 2019,74,4,Assignment4Suite,ContainsTest0 ContainsTest1+ ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest3 , ,EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 RemoveTest0 RemoveTest6 SizeTest2 , ,
10,Tue Mar 26 23:37:09 EDT 2019,74,0,SizeTestSuite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 HeightTest InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest5 RemoveTest7 SizeTest0 SizeTest1 SizeTest3 , ,EmptyTest1 EmptyTest2 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 RemoveTest0 RemoveTest6 SizeTest2 , ,
